C.brenneri WBID,C.brenneri assignment (CN),C.briggsae WBID,C.briggsae assignment (CN),C.remanei WBID,C.remanei assignment (CN)
WBGene00144824,X,WBGene00032118,X,WBGene00051463,X
WBGene00144827,A,WBGene00038202,A,WBGene00052117,A
WBGene00144829,A,WBGene00024334,A,WBGene00067251,A
WBGene00144860,X,WBGene00035694,X,WBGene00065545,X
WBGene00144869,A,WBGene00031111,A,WBGene00059078,A
WBGene00144874,X,WBGene00036945,X,WBGene00058459,X
WBGene00144880,A,WBGene00032638,A,WBGene00052831,A
WBGene00144881,A,WBGene00030369,A,WBGene00052658,A
WBGene00144892,X,WBGene00027161,X,WBGene00058435,X
WBGene00144897,X,WBGene00089266,X,WBGene00085537,X
WBGene00144901,A,WBGene00036504,A,WBGene00054720,A
WBGene00144921,A,WBGene00030335,A,WBGene00052611,A
WBGene00144923,X,WBGene00032112,X,WBGene00051469,X
WBGene00144935,X,WBGene00025162,X,WBGene00058229,X
WBGene00144940,A,WBGene00033794,A,WBGene00063609,A
WBGene00144956,A,WBGene00038222,A,WBGene00052143,A
WBGene00144960,A,WBGene00036455,A,WBGene00054657,A
WBGene00144971,A,WBGene00041683,A,WBGene00052320,A
WBGene00144972,A,WBGene00042417,no.read,WBGene00055408,A
WBGene00144974,X,WBGene00032172,X,WBGene00051406,X
WBGene00144989,A,WBGene00025321,A,WBGene00086107,A
WBGene00144997,A,WBGene00024260,A,WBGene00078330,A
WBGene00144998,A,WBGene00031550,A,WBGene00055087,A
WBGene00145002,X,WBGene00034724,X,WBGene00052054,X
WBGene00145003,X,WBGene00037155,X,WBGene00058395,X
WBGene00145005,X,WBGene00034738,X,WBGene00052037,X
WBGene00145008,A,WBGene00088496,A,WBGene00059077,A
WBGene00145009,X,WBGene00037117,X,WBGene00058364,X
WBGene00145014,X,WBGene00034833,X,WBGene00051926,X
WBGene00145021,X,WBGene00036669,X,WBGene00051239,X
WBGene00145026,X,WBGene00036057,X,WBGene00059824,X
WBGene00145029,A,WBGene00030739,A,WBGene00055574,A
WBGene00145038,A,WBGene00035669,A,WBGene00070848,A
WBGene00145046,A,WBGene00039247,A,WBGene00061608,A
WBGene00145047,A,WBGene00029122,A,WBGene00055166,A
WBGene00145048,A,WBGene00042146,A,WBGene00075014,A
WBGene00145052,A,WBGene00024715,A,WBGene00053121,A
WBGene00145057,A,WBGene00025882,A,WBGene00053548,A
WBGene00145060,X,WBGene00035004,X,WBGene00051781,X
WBGene00145068,X,WBGene00036883,X,WBGene00063125,X
WBGene00145071,A,WBGene00037811,A,WBGene00055764,A
WBGene00145074,X,WBGene00023633,X,WBGene00051092,X
WBGene00145075,X,WBGene00036960,X,WBGene00058255,X
WBGene00145078,A,WBGene00030650,A,WBGene00055638,A
WBGene00145079,A,WBGene00032251,A,WBGene00062211,A
WBGene00145087,A,WBGene00035474,A,WBGene00071291,A
WBGene00145093,X,WBGene00029662,X,WBGene00058643,X
WBGene00145100,A,WBGene00023795,A,WBGene00067781,A
WBGene00145103,A,WBGene00030710,A,WBGene00055550,A
WBGene00145110,X,WBGene00025130,X,WBGene00063138,X
WBGene00145123,A,WBGene00029099,A,WBGene00086398,A
WBGene00145124,A,WBGene00037459,A,WBGene00061684,A
WBGene00145130,X,WBGene00032254,A,WBGene00060180,X
WBGene00145139,A,WBGene00039489,A,WBGene00063394,A
WBGene00145148,A,WBGene00026046,A,WBGene00053361,A
WBGene00145151,X,WBGene00035037,X,WBGene00051747,X
WBGene00145154,X,WBGene00036287,X,WBGene00069509,X
WBGene00145158,A,WBGene00027680,A,WBGene00055702,A
WBGene00145159,A,WBGene00026501,A,WBGene00056537,A
WBGene00145161,A,WBGene00034334,A,WBGene00071273,A
WBGene00145163,A,WBGene00026188,A,WBGene00057701,A
WBGene00145169,A,WBGene00040028,A,WBGene00086020,A
WBGene00145170,X,WBGene00023624,X,WBGene00084919,X
WBGene00145174,A,WBGene00027994,A,WBGene00063556,A
WBGene00145178,A,WBGene00023831,A,WBGene00069568,A
WBGene00145182,A,WBGene00029059,A,WBGene00055231,A
WBGene00145191,A,WBGene00030988,A,WBGene00058942,A
WBGene00145195,A,WBGene00041399,A,WBGene00064505,A
WBGene00145199,A,WBGene00029058,A,WBGene00055230,A
WBGene00145202,A,WBGene00033959,A,WBGene00054335,A
WBGene00145203,A,WBGene00034318,A,WBGene00064588,A
WBGene00145213,X,WBGene00029565,X,WBGene00058532,X
WBGene00145215,X,WBGene00032213,X,WBGene00051366,X
WBGene00145220,A,WBGene00026019,A,WBGene00053386,A
WBGene00145222,X,WBGene00029953,X,WBGene00060205,X
WBGene00145223,A,WBGene00026617,A,WBGene00057250,A
WBGene00145237,A,WBGene00038525,A,WBGene00080754,A
WBGene00145248,A,WBGene00026451,A,WBGene00061581,A
WBGene00145256,A,WBGene00031475,A,WBGene00055012,A
WBGene00145263,A,WBGene00042323,A,WBGene00066446,A
WBGene00145278,A,WBGene00031528,A,WBGene00055068,A
WBGene00145285,A,WBGene00030762,A,WBGene00055504,A
WBGene00145287,A,WBGene00039648,A,WBGene00069822,A
WBGene00145289,A,WBGene00041485,A,WBGene00066247,A
WBGene00145291,A,WBGene00039476,A,WBGene00072196,A
WBGene00145294,short,WBGene00024927,A,WBGene00062805,A
WBGene00145305,A,WBGene00030342,A,WBGene00052618,A
WBGene00145312,A,WBGene00037685,A,WBGene00055893,A
WBGene00145313,X,WBGene00035072,X,WBGene00051711,X
WBGene00145315,X,WBGene00036233,X,WBGene00063275,X
WBGene00145317,A,WBGene00039425,A,WBGene00067017,A
WBGene00145321,A,WBGene00036532,A,WBGene00054749,A
WBGene00145329,A,WBGene00026787,A,WBGene00060613,A
WBGene00145330,A,WBGene00031000,A,WBGene00058954,A
WBGene00145333,X,WBGene00037146,X,WBGene00058386,X
WBGene00145334,X,WBGene00034749,X,WBGene00052024,X
WBGene00145335,A,WBGene00031393,A,WBGene00054945,A
WBGene00145341,A,WBGene00039215,A,WBGene00071138,A
WBGene00145343,A,WBGene00042421,no.read,WBGene00055411,A
WBGene00145344,A,WBGene00034064,A,WBGene00063034,A
WBGene00145346,A,WBGene00042731,A,WBGene00055709,A
WBGene00145358,A,WBGene00030734,A,WBGene00055570,A
WBGene00145361,X,WBGene00029935,X,WBGene00060184,X
WBGene00145364,A,WBGene00041678,A,WBGene00052325,A
WBGene00145366,A,WBGene00029197,A,WBGene00064715,A
WBGene00145368,A,WBGene00031547,A,WBGene00055084,A
WBGene00145371,A,WBGene00025875,A,WBGene00053556,A
WBGene00145384,X,WBGene00025182,X,WBGene00058206,X
WBGene00145391,A,WBGene00025877,A,WBGene00053554,A
WBGene00145394,X,WBGene00025197,X,WBGene00058194,X
WBGene00145396,X,WBGene00034781,X,WBGene00051986,X
WBGene00145402,X,WBGene00036713,X,WBGene00051195,X
WBGene00145407,A,WBGene00033876,A,WBGene00054365,A
WBGene00145428,X,WBGene00034740,X,WBGene00052035,X
WBGene00145429,X,WBGene00029447,X,WBGene00065294,X
WBGene00145441,A,WBGene00038520,A,WBGene00072534,A
WBGene00145444,A,WBGene00034283,A,WBGene00064585,A
WBGene00145445,A,WBGene00033988,A,WBGene00055912,A
WBGene00145446,A,WBGene00041870,A,WBGene00052569,A
WBGene00145449,X,WBGene00035151,X,WBGene00051624,X
WBGene00145451,A,WBGene00026085,A,WBGene00053307,A
WBGene00145452,A,WBGene00040539,A,WBGene00057871,A
WBGene00145459,A,WBGene00039699,A,WBGene00057604,A
WBGene00145462,X,WBGene00036955,X,WBGene00058245,X
WBGene00145463,A,WBGene00042119,A,WBGene00068442,A
WBGene00145474,A,WBGene00027237,A,WBGene00064421,A
WBGene00145476,A,WBGene00039539,A,WBGene00057925,A
WBGene00145479,X,WBGene00089261,X,WBGene00051206,X
WBGene00145490,A,WBGene00088150,A,WBGene00055710,A
WBGene00145502,A,WBGene00033775,A,WBGene00063600,A
WBGene00145503,A,WBGene00026112,A,WBGene00053276,A
WBGene00145509,A,WBGene00036523,A,WBGene00054741,A
WBGene00145512,A,WBGene00031062,A,WBGene00059021,A
WBGene00145513,A,WBGene00026291,A,WBGene00065633,A
WBGene00145522,A,WBGene00028916,A,WBGene00052821,A
WBGene00145523,A,WBGene00037990,A,WBGene00057737,A
WBGene00145525,A,WBGene00041439,A,WBGene00061858,A
WBGene00145530,A,WBGene00031497,A,WBGene00055038,A
WBGene00145562,X,WBGene00036615,X,WBGene00051280,X
WBGene00145564,X,WBGene00035104,X,WBGene00051677,X
WBGene00145565,A,WBGene00037712,A,WBGene00055867,A
WBGene00145574,A,WBGene00033042,A,WBGene00062320,A
WBGene00145586,A,WBGene00034328,A,WBGene00072258,A
WBGene00145588,X,WBGene00035034,X,WBGene00051750,X
WBGene00145590,A,WBGene00024063,A,WBGene00053816,A
WBGene00145598,A,WBGene00026517,A,WBGene00079996,A
WBGene00145603,X,WBGene00034808,X,WBGene00051949,X
WBGene00145608,X,WBGene00034746,X,WBGene00052029,X
WBGene00145612,A,WBGene00031384,A,WBGene00054861,A
WBGene00145615,X,WBGene00034772,X,WBGene00051997,X
WBGene00145621,A,WBGene00025839,A,WBGene00053586,A
WBGene00145622,X,WBGene00036201,X,WBGene00077307,X
WBGene00145624,A,WBGene00023934,A,WBGene00053931,A
WBGene00145636,A,WBGene00038290,A,WBGene00052210,A
WBGene00145637,A,WBGene00037800,A,WBGene00055782,A
WBGene00145638,A,WBGene00034009,A,WBGene00063084,A
WBGene00145643,A,WBGene00026409,A,WBGene00061551,A
WBGene00145646,A,WBGene00029799,A,WBGene00059587,A
WBGene00145648,A,WBGene00030680,A,WBGene00055607,A
WBGene00145657,A,WBGene00036433,A,WBGene00069384,A
WBGene00145658,X,WBGene00088987,X,WBGene00058418,X
WBGene00145664,X,WBGene00035724,X,WBGene00070612,X
WBGene00145672,A,WBGene00035614,A,WBGene00061511,A
WBGene00145675,X,WBGene00036627,X,WBGene00051265,X
WBGene00145676,A,WBGene00031180,A,WBGene00065083,A
WBGene00145682,X,WBGene00036319,X,WBGene00063236,X
WBGene00145690,A,WBGene00030936,A,WBGene00058886,A
WBGene00145693,A,WBGene00037982,A,WBGene00057738,A
WBGene00145698,A,WBGene00025934,A,WBGene00053494,A
WBGene00145704,A,WBGene00039254,A,WBGene00061622,A
WBGene00145705,A,WBGene00023782,A,WBGene00069534,A
WBGene00145713,A,WBGene00034619,A,WBGene00073126,A
WBGene00145717,A,WBGene00028971,A,WBGene00052767,A
WBGene00145718,A,WBGene00038373,A,WBGene00071818,A
WBGene00145733,A,WBGene00030345,A,WBGene00052621,A
WBGene00145744,A,WBGene00030945,A,WBGene00058896,A
WBGene00145746,A,WBGene00037541,A,WBGene00061761,A
WBGene00145757,A,WBGene00031321,A,WBGene00054934,A
WBGene00145758,X,WBGene00029606,X,WBGene00058611,X
WBGene00145768,A,WBGene00031095,A,WBGene00085704,A
WBGene00145772,A,WBGene00030711,A,WBGene00055549,A
WBGene00145777,A,WBGene00036551,A,WBGene00054781,A
WBGene00145789,A,WBGene00037971,A,WBGene00057753,A
WBGene00145790,X,WBGene00034996,X,WBGene00051788,X
WBGene00145795,A,WBGene00032840,A,WBGene00067893,A
WBGene00145809,A,WBGene00030383,A,WBGene00052671,A
WBGene00145821,A,WBGene00032631,A,WBGene00052839,A
WBGene00145829,A,WBGene00039220,A,WBGene00070968,A
WBGene00145830,A,WBGene00031500,A,WBGene00055040,A
WBGene00145832,A,WBGene00027703,A,WBGene00055683,A
WBGene00145833,A,WBGene00031368,A,WBGene00054878,A
WBGene00145835,X,WBGene00029358,X,WBGene00066178,X
WBGene00145842,A,WBGene00040122,A,WBGene00071933,A
WBGene00145845,A,WBGene00032264,A,WBGene00062220,A
WBGene00145848,X,WBGene00036601,X,WBGene00051295,X
WBGene00145854,A,WBGene00036501,A,WBGene00054706,A
WBGene00145868,A,WBGene00026645,A,WBGene00057219,A
WBGene00145877,A,WBGene00031414,A,WBGene00054963,A
WBGene00145879,ambiguous,WBGene00027021,A,WBGene00054116,A
WBGene00145883,A,WBGene00041353,A,WBGene00056562,A
WBGene00145890,A,WBGene00040586,A,WBGene00071322,A
WBGene00145892,X,WBGene00037122,X,WBGene00058369,X
WBGene00145897,X,WBGene00036962,X,WBGene00058257,X
WBGene00145903,A,WBGene00038243,A,WBGene00052162,A
WBGene00145905,X,WBGene00025239,X,WBGene00058148,X
WBGene00145912,A,WBGene00037507,A,WBGene00061728,A
WBGene00145921,A,WBGene00028865,A,WBGene00062109,A
WBGene00145922,X,WBGene00036358,X,WBGene00063271,X
WBGene00145924,X,WBGene00029945,X,WBGene00060196,X
WBGene00145930,A,WBGene00039532,A,WBGene00057935,A
WBGene00145938,X,WBGene00034899,X,WBGene00051865,X
WBGene00145943,A,WBGene00030262,A,WBGene00056343,A
WBGene00145944,X,WBGene00034852,X,WBGene00051910,X
WBGene00145950,A,WBGene00032314,A,WBGene00054167,A
WBGene00145952,A,WBGene00033577,A,WBGene00066724,A
WBGene00145959,A,WBGene00038108,A,WBGene00071777,A
WBGene00145963,A,WBGene00033878,A,WBGene00054368,A
WBGene00145965,X,WBGene00023581,X,WBGene00051153,X
WBGene00145967,A,WBGene00033467,A,WBGene00064249,A
WBGene00145969,X,WBGene00025117,X,WBGene00063158,X
WBGene00145973,A,WBGene00035871,A,WBGene00065359,A
WBGene00145974,X,WBGene00036921,X,WBGene00058478,X
WBGene00145979,A,WBGene00041681,A,WBGene00052322,A
WBGene00145995,A,WBGene00042322,A,WBGene00066447,A
WBGene00145997,A,WBGene00030796,A,WBGene00077382,A
WBGene00146005,A,WBGene00041461,A,WBGene00061891,A
WBGene00146012,A,WBGene00030890,A,WBGene00058841,A
WBGene00146019,A,WBGene00023525,A,WBGene00066765,A
WBGene00146023,A,WBGene00026031,A,WBGene00053375,A
WBGene00146031,A,WBGene00037694,A,WBGene00072650,A
WBGene00146035,A,WBGene00031512,A,WBGene00055052,A
WBGene00146038,A,WBGene00038604,A,WBGene00062879,A
WBGene00146039,A,WBGene00034057,A,WBGene00063042,A
WBGene00146046,A,WBGene00033315,A,WBGene00060014,A
WBGene00146049,A,WBGene00024046,A,WBGene00053875,A
WBGene00146057,A,WBGene00039617,A,WBGene00057552,A
WBGene00146064,A,WBGene00035865,A,WBGene00065370,A
WBGene00146072,A,WBGene00025646,A,WBGene00054054,A
WBGene00146077,A,WBGene00030668,A,WBGene00055620,A
WBGene00146089,X,WBGene00035706,X,WBGene00065556,X
WBGene00146094,A,WBGene00039511,A,WBGene00057957,A
WBGene00146096,X,WBGene00034846,X,WBGene00051914,X
WBGene00146100,X,WBGene00025049,X,WBGene00063203,X
WBGene00146107,A,WBGene00027813,A,WBGene00070183,A
WBGene00146114,A,WBGene00026179,A,WBGene00053201,A
WBGene00146115,X,WBGene00036231,X,WBGene00063273,X
WBGene00146134,A,WBGene00033800,A,WBGene00069799,A
WBGene00146149,A,WBGene00031336,A,WBGene00054917,A
WBGene00146151,A,WBGene00037578,A,WBGene00061798,A
WBGene00146166,X,WBGene00023662,X,WBGene00051071,X
WBGene00146168,X,WBGene00034819,X,WBGene00051937,X
WBGene00146169,A,WBGene00039121,A,WBGene00070274,A
WBGene00146176,X,WBGene00034824,X,WBGene00051934,X
WBGene00146178,X,WBGene00036569,X,WBGene00051329,X
WBGene00146179,X,WBGene00025042,X,WBGene00063212,X
WBGene00146184,X,WBGene00029623,X,WBGene00058594,X
WBGene00146185,A,WBGene00038862,A,WBGene00055464,A
WBGene00146196,A,WBGene00026456,A,WBGene00061587,A
WBGene00146199,A,WBGene00023823,A,WBGene00069558,A
WBGene00146204,A,WBGene00039832,A,WBGene00054508,A
WBGene00146205,X,WBGene00037025,X,WBGene00079622,X
WBGene00146209,A,WBGene00025069,X,WBGene00077147,X
WBGene00146210,A,WBGene00026183,A,WBGene00057705,A
WBGene00146217,X,WBGene00032151,X,WBGene00051427,X
WBGene00146221,A,WBGene00038521,A,WBGene00072537,A
WBGene00146223,X,WBGene00027622,X,WBGene00051490,X
WBGene00146230,A,WBGene00039807,A,WBGene00054474,A
WBGene00146233,A,WBGene00038122,A,WBGene00072830,A
WBGene00146234,A,WBGene00034012,A,WBGene00063080,A
WBGene00146243,A,WBGene00036513,A,WBGene00054731,A
WBGene00146247,A,WBGene00025519,A,WBGene00057310,A
WBGene00146258,A,WBGene00024967,A,WBGene00062765,A
WBGene00146263,A,WBGene00086820,A,WBGene00056325,A
WBGene00146271,A,WBGene00041983,A,WBGene00067473,A
WBGene00146275,A,WBGene00039357,A,WBGene00056059,A
WBGene00146283,A,WBGene00037676,A,WBGene00061648,A
WBGene00146284,X,WBGene00034863,X,WBGene00051898,X
WBGene00146292,A,WBGene00036524,A,WBGene00054742,A
WBGene00146298,A,WBGene00031138,A,WBGene00059117,A
WBGene00146300,A,WBGene00032679,A,WBGene00070403,A
WBGene00146301,X,WBGene00027754,X,WBGene00058757,X
WBGene00146302,X,WBGene00029500,X,WBGene00065251,X
WBGene00146303,A,WBGene00030798,A,WBGene00077378,A
WBGene00146324,A,WBGene00039219,A,WBGene00071136,A
WBGene00146333,X,WBGene00035131,X,WBGene00051642,X
WBGene00146355,A,WBGene00028093,A,WBGene00065955,A
WBGene00146378,A,WBGene00028098,A,WBGene00065958,A
WBGene00146379,A,WBGene00029240,A,WBGene00064184,A
WBGene00146381,A,WBGene00025285,A,WBGene00059852,A
WBGene00146393,A,WBGene00031474,A,WBGene00055011,A
WBGene00146399,A,WBGene00031401,A,WBGene00054951,A
WBGene00146408,A,WBGene00031590,A,WBGene00055122,A
WBGene00146411,A,WBGene00033192,A,WBGene00062422,A
WBGene00146416,A,WBGene00041779,A,WBGene00052458,A
WBGene00146419,X,WBGene00029430,X,WBGene00065307,X
WBGene00146424,A,WBGene00033048,A,WBGene00062325,A
WBGene00146435,X,WBGene00029494,X,WBGene00065256,X
WBGene00146446,A,WBGene00030478,A,WBGene00060875,A
WBGene00146449,A,WBGene00030692,A,WBGene00055517,A
WBGene00146450,A,WBGene00037734,A,WBGene00055853,A
WBGene00146455,A,WBGene00039683,A,WBGene00057618,A
WBGene00146456,A,WBGene00037639,A,WBGene00062984,A
WBGene00146458,A,WBGene00029063,A,WBGene00055235,A
WBGene00146461,X,WBGene00035228,X,WBGene00051565,X
WBGene00146464,A,WBGene00039263,A,WBGene00062270,A
WBGene00146475,A,WBGene00034566,A,WBGene00071904,A
WBGene00146488,A,WBGene00030278,A,WBGene00056326,A
WBGene00146491,X,WBGene00032110,X,WBGene00051471,X
WBGene00146519,A,WBGene00035872,A,WBGene00065358,A
WBGene00146520,A,WBGene00029095,A,WBGene00055194,A
WBGene00146525,X,WBGene00037158,X,WBGene00079605,X
WBGene00146531,A,WBGene00037486,A,WBGene00061705,A
WBGene00146534,A,WBGene00041529,A,WBGene00071505,A
WBGene00146548,A,WBGene00031931,A,WBGene00072303,A
WBGene00146552,A,WBGene00039452,A,WBGene00072278,A
WBGene00146553,A,WBGene00025813,A,WBGene00053620,A
WBGene00146555,A,WBGene00041313,A,WBGene00056580,A
WBGene00146557,A,WBGene00029183,A,WBGene00068146,A
WBGene00146567,A,WBGene00040597,A,WBGene00069902,A
WBGene00146579,X,WBGene00034699,X,WBGene00052083,X
WBGene00146588,X,WBGene00029942,X,WBGene00060191,X
WBGene00146589,A,WBGene00030651,A,WBGene00055639,A
WBGene00146591,A,WBGene00031614,A,WBGene00055138,A
WBGene00146594,A,WBGene00024690,A,WBGene00062039,A
WBGene00146595,A,WBGene00032351,A,WBGene00054214,A
WBGene00146597,A,WBGene00033387,A,WBGene00059935,A
WBGene00146599,A,WBGene00030873,A,WBGene00058823,A
WBGene00146608,A,WBGene00023817,A,WBGene00069564,A
WBGene00146610,A,WBGene00038488,A,WBGene00066840,A
WBGene00146617,A,WBGene00033880,A,WBGene00054374,A
WBGene00146621,A,WBGene00029314,A,WBGene00064642,A
WBGene00146629,X,WBGene00032222,X,WBGene00051357,X
WBGene00146641,A,WBGene00030403,A,WBGene00052687,A
WBGene00146645,A,WBGene00032821,A,WBGene00072971,A
WBGene00146649,X,WBGene00035202,X,WBGene00051590,X
WBGene00146663,A,WBGene00033299,A,WBGene00060033,A
WBGene00146667,A,WBGene00030271,A,WBGene00056335,A
WBGene00146674,A,WBGene00039400,A,WBGene00056026,A
WBGene00146692,A,WBGene00030349,A,WBGene00052624,A
WBGene00146700,A,WBGene00029050,A,WBGene00055222,short
WBGene00146725,A,WBGene00035961,A,WBGene00055944,A
WBGene00146726,A,WBGene00034256,A,WBGene00071885,A
WBGene00146733,A,WBGene00041078,A,WBGene00072304,A
WBGene00146747,A,WBGene00024076,A,WBGene00053801,A
WBGene00146751,X,WBGene00035765,X,WBGene00051025,X
WBGene00146764,A,WBGene00031456,A,WBGene00055003,A
WBGene00146779,A,WBGene00028833,A,WBGene00053125,A
WBGene00146789,A,WBGene00038374,A,WBGene00071819,A
WBGene00146791,X,WBGene00023663,X,WBGene00051069,X
WBGene00146798,A,WBGene00031473,A,WBGene00055010,A
WBGene00146803,X,WBGene00029661,X,WBGene00058642,X
WBGene00146807,X,WBGene00034780,X,WBGene00051987,X
WBGene00146824,X,WBGene00036027,X,WBGene00070124,X
WBGene00146828,A,WBGene00032718,A,WBGene00064366,A
WBGene00146832,X,WBGene00042604,X,WBGene00060144,X
WBGene00146841,X,WBGene00025077,X,WBGene00063175,X
WBGene00146844,X,WBGene00025269,X,WBGene00058234,X
WBGene00146849,A,WBGene00041672,A,WBGene00052331,A
WBGene00146864,A,WBGene00041987,A,WBGene00086453,A
WBGene00146871,X,WBGene00029947,X,WBGene00060198,X
WBGene00146878,A,WBGene00042435,A,WBGene00061906,A
WBGene00146883,A,WBGene00028257,A,WBGene00071959,A
WBGene00146884,A,WBGene00028867,A,WBGene00062107,A
WBGene00146888,A,WBGene00030219,A,WBGene00056377,A
WBGene00146894,A,WBGene00041470,A,WBGene00061899,A
WBGene00146895,A,WBGene00025386,A,WBGene00057447,A
WBGene00146906,A,WBGene00040687,A,WBGene00060589,A
WBGene00146910,X,WBGene00036285,X,WBGene00056020,A
WBGene00146919,A,WBGene00031920,A,WBGene00070857,A
WBGene00146935,X,WBGene00035224,X,WBGene00051568,X
WBGene00146938,A,WBGene00030159,A,WBGene00054713,A
WBGene00146955,A,WBGene00036508,A,WBGene00054725,A
WBGene00146957,A,WBGene00035624,A,WBGene00061509,A
WBGene00146975,A,WBGene00032258,A,WBGene00062218,A
WBGene00146985,A,WBGene00023912,A,WBGene00053949,A
WBGene00146986,A,WBGene00031440,A,WBGene00054985,A
WBGene00146991,A,WBGene00023796,A,WBGene00067780,A
WBGene00146996,X,WBGene00035212,X,WBGene00051579,X
WBGene00147002,A,WBGene00034337,A,WBGene00072456,A
WBGene00147006,X,WBGene00025273,X,WBGene00058238,X
WBGene00147015,A,WBGene00037764,A,WBGene00055812,A
WBGene00147017,A,WBGene00033437,A,WBGene00060090,A
WBGene00147023,A,WBGene00024041,A,WBGene00053878,A
WBGene00147024,A,WBGene00030771,A,WBGene00055451,A
WBGene00147025,A,WBGene00041717,A,WBGene00052400,A
WBGene00147044,A,WBGene00029062,A,WBGene00055236,A
WBGene00147052,A,WBGene00034084,A,WBGene00063012,A
WBGene00147061,A,WBGene00041751,A,WBGene00052432,A
WBGene00147064,X,WBGene00041206,X,WBGene00058790,X
WBGene00147074,X,WBGene00041220,X,WBGene00058805,X
WBGene00147076,A,WBGene00034343,A,WBGene00056385,A
WBGene00147081,A,WBGene00038567,A,WBGene00066858,A
WBGene00147085,A,WBGene00031228,A,WBGene00065013,A
WBGene00147086,A,WBGene00030583,A,WBGene00057969,A
WBGene00147095,A,WBGene00023806,A,WBGene00069539,A
WBGene00147098,A,WBGene00037450,A,WBGene00061676,A
WBGene00147104,X,WBGene00029437,X,WBGene00082655,X
WBGene00147116,A,WBGene00026127,A,WBGene00053261,A
WBGene00147121,A,WBGene00024692,A,WBGene00062041,A
WBGene00147125,A,WBGene00029165,A,WBGene00071996,A
WBGene00147126,A,WBGene00037342,A,WBGene00065219,A
WBGene00147127,A,WBGene00035289,A,WBGene00060356,A
WBGene00147129,A,WBGene00033774,A,WBGene00063599,A
WBGene00147131,A,WBGene00033185,A,WBGene00062416,A
WBGene00147132,X,WBGene00041240,X,WBGene00065486,X
WBGene00147133,A,WBGene00038401,A,WBGene00068023,A
WBGene00147135,A,WBGene00024039,A,WBGene00053881,A
WBGene00147137,X,WBGene00027567,X,WBGene00051547,X
WBGene00147139,A,WBGene00025383,A,WBGene00057450,A
WBGene00147144,X,WBGene00034951,X,WBGene00051832,X
WBGene00147150,A,WBGene00033509,A,WBGene00064316,A
WBGene00147151,A,WBGene00024013,A,WBGene00053864,A
WBGene00147156,X,WBGene00037031,X,WBGene00058322,X
WBGene00147160,A,WBGene00039715,A,WBGene00057588,A
WBGene00147162,A,WBGene00041164,A,WBGene00063719,A
WBGene00147173,X,WBGene00035157,X,WBGene00051618,X
WBGene00147186,A,WBGene00032275,A,WBGene00076671,A
WBGene00147187,X,WBGene00036353,X,WBGene00063266,X
WBGene00147188,A,WBGene00029223,A,WBGene00064706,A
WBGene00147189,A,WBGene00026081,A,WBGene00053312,A
WBGene00147199,X,WBGene00041261,X,WBGene00065509,X
WBGene00147208,A,WBGene00030790,A,WBGene00066750,A
WBGene00147213,A,WBGene00032320,A,WBGene00054173,A
WBGene00147214,X,WBGene00041215,X,WBGene00058798,X
WBGene00147223,A,WBGene00031612,A,WBGene00055140,A
WBGene00147228,A,WBGene00029814,A,WBGene00067699,A
WBGene00147232,A,WBGene00032413,A,WBGene00053071,A
WBGene00147236,A,WBGene00028111,A,WBGene00067097,A
WBGene00147251,X,WBGene00023678,X,WBGene00051057,X
WBGene00147257,A,WBGene00024024,A,WBGene00053838,A
WBGene00147266,A,WBGene00039364,A,WBGene00056048,A
WBGene00147267,X,WBGene00036596,X,WBGene00051299,X
WBGene00147273,A,WBGene00030359,A,WBGene00052642,A
WBGene00147277,X,WBGene00025165,X,WBGene00058227,X
WBGene00147285,A,WBGene00035643,A,WBGene00069628,A
WBGene00147287,A,WBGene00034614,A,WBGene00069121,ambiguous
WBGene00147291,A,WBGene00035618,A,WBGene00064430,A
WBGene00147304,X,WBGene00036922,X,WBGene00058477,X
WBGene00147307,A,WBGene00041388,A,WBGene00064482,A
WBGene00147312,A,WBGene00033062,A,WBGene00062337,A
WBGene00147332,A,WBGene00033187,A,WBGene00062417,A
WBGene00147343,A,WBGene00026944,A,WBGene00057135,A
WBGene00147346,X,WBGene00036886,X,WBGene00063122,X
WBGene00147354,A,WBGene00029913,A,WBGene00069984,A
WBGene00147371,A,WBGene00040439,A,WBGene00063878,A
WBGene00147378,A,WBGene00037560,A,WBGene00061780,A
WBGene00147379,X,WBGene00034841,X,WBGene00077891,X
WBGene00147383,A,WBGene00029343,A,WBGene00064662,A
WBGene00147385,A,WBGene00042809,no.read,WBGene00054755,A
WBGene00147389,A,WBGene00031329,A,WBGene00054925,A
WBGene00147391,X,WBGene00035234,X,WBGene00077880,X
WBGene00147404,X,WBGene00029429,X,WBGene00065308,X
WBGene00147411,A,WBGene00041587,A,WBGene00064735,A
WBGene00147415,A,WBGene00042428,A,WBGene00061916,A
WBGene00147417,X,WBGene00036026,X,WBGene00070125,X
WBGene00147439,A,WBGene00041782,A,WBGene00052461,A
WBGene00147440,A,WBGene00032791,A,WBGene00067914,A
WBGene00147446,A,WBGene00030078,A,WBGene00070434,A
WBGene00147447,A,WBGene00039971,A,WBGene00055396,A
WBGene00147460,A,WBGene00026934,A,WBGene00057120,A
WBGene00147461,A,WBGene00030954,A,WBGene00058905,A
WBGene00147464,A,WBGene00032344,A,WBGene00054203,A
WBGene00147473,A,WBGene00034071,A,WBGene00063027,A
